linux-api-headers 5.8-1
linux-firmware 20201218.646f159-1
llvm-libs 11.0.1-2
lm_sensors 3.6.0-2
lmdb 0.9.27-1
lua 5.4.2-1
lua52 5.2.4-5
lua52-bitop 1.0.2-9
lua52-expat 1.3.0-5
lua52-lpeg 1.0.2-3
lua52-luajson 1.3.4-3
lua52-socket 20200329-1
luajit 2.0.5-3
lvm2 2.02.187-3
lxappearance 0.6.3-4
lz4 1:1.9.3-1
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-8
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.3-1
materia-gtk-theme 20200916-1
mdadm 4.1-2
mesa 20.3.4-1
metis 5.1.0.p10-1
minizip 1:1.2.11-4
mjpegtools 2.2.0beta-1
mkinitcpio 29-1
mkinitcpio-busybox 1.32.1-2
mobile-broadband-provider-info 20201225-1
mod_dnssd 0.6-8
mpfr 4.1.0-1
mpg123 1.26.3-2
mpv 1:0.33.0-4
msgpack-c 3.3.0-2
mtdev 1.1.6-1
mtools 4.0.26-1
mujs 1.0.9-1
mutter 3.38.3-1
mypaint-brushes1 1.3.1-1
nautilus 3.38.2-1
ncurses 6.2-1
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.31.2-1
neovim 0.4.4-1
net-snmp 5.9-3
nettle 3.7-1
network-manager-applet 1.20.0-1
networkmanager 1.28.1dev+15+gaa2bc9e6e4-1
ninja 1.10.2-1
nm-connection-editor 1.20.0-1
node-gyp 7.1.2-1
nodejs 15.8.0-1
noto-fonts-cjk 20201206-1
npm 6.14.11-1
npth 1.6-2
nspr 4.29-1
nss 3.61-1
numactl 2.0.14-1
ocl-icd 2.2.14-1
openal 1.21.0-1
opencore-amr 0.1.5-5
openexr 2.5.4-1
openjpeg2 2.4.0-1
openmpi 4.0.5-2
openssh 8.4p1-2
openssl 1.1.1.i-2
opus 1.3.1-2
orc 0.4.32-1
orca 3.38.2-1
osinfo-db 20201015-1
p11-kit 0.23.22-1
pacgraph 20110629-5
pacman 5.2.2-1
pacman-contrib 1.4.0-1
pacman-mirrorlist 20210110-1
pam 1.5.1-1
pambase 20200721.1-2
pango 1:1.48.1-1
pangomm 2.46.0-1
papirus-icon-theme 20210201-1
parted 3.4-1
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
pcsclite 1.9.0-1
perl 5.32.0-3
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
phodav 2.5-1
picom 8.2-1
pinentry 1.1.0-5
pipewire 1:0.3.21-1
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.118-1
polybar 3.5.4-1
poppler 21.02.0-1
poppler-data 0.4.10-1
poppler-glib 21.02.0-1
popt 1.18-1
portaudio 1:19.6.0-7
potrace 1.16-2
procps-ng 3.3.16-3
protobuf 3.12.4-3
psmisc 23.3-4
pulseaudio 14.2-2
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 14.2-2
python 3.9.1-1
python-appdirs 1.4.4-3
python-asn1crypto 1.4.0-3
python-atspi 2.38.0-3
python-attrs 20.3.0-3
python-babel 2.9.0-1
python-beaker 1.11.0-6
python-cachecontrol 0.12.6-3
python-cffi 1.14.4-1
python-chardet 3.0.4-7
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.3.1-1
python-dbus 1.2.16-3
python-dbus-common 1.2.16-3
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-docopt 0.6.2-9
python-gobject 3.38.0-3
python-html5lib 1.1-5
python-idna 2.10-3
python-mako 1.1.4-1
python-markdown 3.3.3-3
python-markupsafe 1.1.1-6
python-msgpack 1.0.2-2
python-ordered-set 4.0.2-3
python-packaging 20.8-2
python-pep517 0.9.1-3
python-pillow 8.1.0-1
python-pip 20.3.1-1
python-ply 3.11-7
python-progress 1.5-5
python-pycparser 2.20-3
python-pygments 2.7.4-1
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pypeg2 2.15.2-7
python-pytz 2020.5-1
python-pyxdg 0.26-8
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-setuptools 1:53.0.0-1
python-six 1.15.0-3
python-toml 0.10.2-3
python-urllib3 1.26.3-1
python-webencodings 0.5.1-6
python-xlib 0.29-1
qemu 5.2.0-2
qpdf 10.1.0-1
ranger 1.9.3-3
raptor 2.0.15-15
rav1e 0.4.0-1
re2 1:20210202-1
readline 8.1.0-2
redshift 1.12-4
rest 0.8.1-3
rhash 1.4.1-1
ripgrep 12.1.1-1
rofi 1.6.1-1
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rubberband 1.9-1
run-parts 4.8.6.1-2
rygel 1:0.40.0+6+g2843de82-1
sane 1.0.31-3
sbc 1.5-1
scrot 1.4-1
sdl 1.2.15-14
sdl2 2.0.14-1
seabios 1.14.0-1
sed 4.8-1
semver 7.3.4-1
serd 0.30.10-1
shaderc 2020.3-1
shadow 4.8.1-4
shared-color-targets 0.1.7-3
shared-mime-info 2.0+57+gc1d1c70-1
simple-scan 3.38.2-1
slang 2.3.2-2
smbclient 4.13.4-1
snappy 1.1.8-2
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.2-1
spandsp 0.0.6-3
speech-dispatcher 0.10.2-1
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.14.3-3
spice-gtk 0.39-2
spirv-tools 2020.4-1
sqlite 3.34.1-1
sratom 0.6.8-1
srt 1.4.2-1
startup-notification 0.12-7
sudo 1.9.5.p2-1
suitesparse 5.8.1-1
sushi 3.38.0-1
svt-hevc 1.5.0-1
sxhkd 0.6.2-1
sysfsutils 2.1.0-11
systemd 247.3-1
systemd-libs 247.3-1
systemd-sysvcompat 247.3-1
t1lib 5.1.2-8
taglib 1.11.1-4
talloc 2.3.2-1
tar 1.33-1
tbb 2020.3-1
tcl 8.6.11-1
tdb 1.4.3-4
telepathy-glib 0.24.2-1
tepl 5.0.1-2
tevent 1:0.10.2-3
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
tlp 1.3.1-2
totem-pl-parser 3.26.5-1
tracker 2.3.6-3
tracker-miners 2.3.5-3
tracker3 3.0.3-1
tracker3-miners 3.0.4-1
tree 1.8.0-2
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-fira-sans 1:4.301-2
ttf-liberation 2.1.2-1
ttf-ubuntu-font-family 0.83-6
twolame 0.4.0-2
tzdata 2021a-1
uchardet 0.0.7-1
udisks2 2.9.1-1
ueberzug 18.1.9-1
unibilium 2.1.0-2
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
usbredir 0.8.0-2
usbutils 013-1
util-linux 2.36.1-4
util-linux-libs 2.36.1-4
v4l-utils 1.20.0-1
vamp-plugin-sdk 2.10.0-1
vde2 2.3.2-16
vid.stab 1.1-3
vino 3.22.0+72+g3fe1f12-1
virglrenderer 0.8.2-1
vmaf 1.5.3-1
volume_key 0.3.12-5
vte-common 0.62.2-1
vte3 0.62.2-1
vulkan-icd-loader 1.2.166-1
vulkan-intel 20.3.4-1
